GPC_refno,activity_name,activity_units,activity_value,emission_factor_units,emission_factor_value,emissions_units,emissions_value,gas_name,id,region_code,region_name,source_name,temporal_granularity,year
I.1.1,natural gas consumption by residential buildings,TJ,0.0,kg/TJ,56100.0,kg,0.0,CO2,0c648bee-3ce2-3900-9e67-c80fb9592176,AR-W,CORRIENTES,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,0.0,kg/TJ,56100.0,kg,0.0,CO2,73ecbe5c-26fd-33f4-bb36-2bdf8f2f5fe7,AR-W,CORRIENTES,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,796.0374450600001,kg/TJ,56100.0,kg,44657700.66786601,CO2,4be47e9d-a77f-3489-b945-4899a7758d50,AR-E,ENTRE RIOS,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,3134.2052332200005,kg/TJ,56100.0,kg,175828913.58364204,CO2,973a9c7a-f701-303c-8a76-5c7293838471,AR-E,ENTRE RIOS,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,66.13857006,kg/TJ,56100.0,kg,3710373.7803660003,CO2,f011d2fb-6a0e-32ff-bf0d-eb7ca93937de,AR-E,ENTRE RIOS,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,4585.399908480001,kg/TJ,56100.0,kg,257240934.86572805,CO2,b791a29b-d5c3-332d-b1f9-a1dd95bf7379,AR-E,ENTRE RIOS,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,324.56364614700004,kg/TJ,56100.0,kg,18208020.548846703,CO2,d5166964-f06c-347f-8d60-fb193f39ea37,AR-Y,JUJUY,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,1858.5366394200003,kg/TJ,56100.0,kg,104263905.47146201,CO2,1f9bad3b-4af0-302b-b990-4a7be2f5b677,AR-Y,JUJUY,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,81.72924895794002,kg/TJ,56100.0,kg,4585010.866540435,CO2,de6425ca-7789-316a-bef9-ba7e7872764e,AR-Y,JUJUY,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,4436.271758476621,kg/TJ,56100.0,kg,248874845.6505384,CO2,f2b93fd8-09cd-3a5a-9d30-097b894e3811,AR-Y,JUJUY,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,730.1713705800001,kg/TJ,56100.0,kg,40962613.889538005,CO2,a30354a2-4813-3abf-97f9-af4a75ebfb30,AR-L,LA PAMPA,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,8952.725497080002,kg/TJ,56100.0,kg,502247900.38618815,CO2,053c23f1-0590-3023-99c2-0fc6344c11ec,AR-L,LA PAMPA,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,548.1443231400001,kg/TJ,56100.0,kg,30750896.528154004,CO2,406e49ad-1fb8-303c-8f97-47633515d08f,AR-L,LA PAMPA,ENARGAS,annual,2019
I.3.1,natural gas consumption by industrial buildings,TJ,1189.5210625800003,kg/TJ,56100.0,kg,66732131.61073802,CO2,8413261a-25e4-305f-98f0-d0bd61aa7a0c,AR-L,LA PAMPA,ENARGAS,annual,2019
I.2.1,natural gas consumption by commercial buildings,TJ,81.08689902000002,kg/TJ,56100.0,kg,4548975.035022001,CO2,5ac3c962-3238-38d9-a36b-501eecd75c3a,AR-F,LA RIOJA,ENARGAS,annual,2019
I.1.1,natural gas consumption by residential buildings,TJ,349.06683798000006,kg/TJ,56100.0,kg,19582649.610678002,CO2,b007c682-5a48-38dd-8608-a6e5810216a6,AR-F,LA RIOJA,ENARGAS,annual,2019
I.2.1,natural gas consumption by official entities,TJ,14.247626040000002,kg/TJ,56100.0,kg,799291.8208440001,CO2,e3522cae-48de-3655-941c-219b05182c8b,AR-F,LA RIOJA,ENARGAS,annual,2019
