id,actor_id,year,sector,gpc_refno,gas,emissions_quantity,units
48961071-fd80-3e15-aef3-8d7f950f4d12,AU NTL,2021,Power,I.4.1,co2,158732,kg
8cbaa12e-7038-3724-adf5-05aa816600a2,AU NTL,2021,Ground Transport,II.1.1,co2,77160851,kg
a919f016-6707-3951-abc9-98caa3269a63,AU NTL,2021,Aviation,II.4.1,co2,3366259,kg
d44b83a6-f3e1-327b-8d2f-919e1349571d,AU NTL,2021,Industry,IV.1,co2,572950185,kg
ef172d76-6220-3b7b-93da-f68a59d4675d,AU TSV,2019,Residential,I.1.1,co2,71729543,kg
fb101c44-32ce-3d3f-be56-d1ad20679291,AU TSV,2019,Power,I.4.1,co2,248387,kg
4463d3b6-3168-39b0-8f33-40d2928cf792,AU TSV,2019,Ground Transport,II.1.1,co2,40606682,kg
46799014-2b0a-3b31-95a0-a9a6796dc161,AU TSV,2019,Aviation,II.4.1,co2,45434746,kg
77eb6d92-ec4e-3e8e-9475-55e0c328ae52,AU TSV,2019,Industry,IV.1,co2,336898171,kg
0c674a60-dd57-34ad-8bbd-26889fac578f,AU TSV,2020,Residential,I.1.1,co2,73559211,kg
5d1d3b25-0a9f-34a2-9296-fe01a174d9e2,AU TSV,2020,Power,I.4.1,co2,237756,kg
1079556e-a370-3986-8069-d5ec58f866ac,AU TSV,2020,Ground Transport,II.1.1,co2,35026763,kg
66557e2d-d7ec-3b31-ad58-fa8992634559,AU TSV,2020,Aviation,II.4.1,co2,26288473,kg
a845bb87-fa6f-3ee8-903a-c68f5c5eb050,AU TSV,2020,Industry,IV.1,co2,313473602,kg
1fd3459f-1817-338b-ae2d-9bb1fe12f6d7,AU TSV,2021,Residential,I.1.1,co2,71156345,kg
cd3a11ac-bb2a-30e8-be95-f44c2b26cf07,AU TSV,2021,Power,I.4.1,co2,232935,kg
5cefdf89-fd65-35a5-bc4c-a6920e157ea0,AU TSV,2021,Ground Transport,II.1.1,co2,38890205,kg
82a999bb-753d-3ac1-9e61-ed77c310df88,AU TSV,2021,Aviation,II.4.1,co2,31715799,kg
4713b97c-3987-3364-a42b-7dc096294595,AU TSV,2021,Industry,IV.1,co2,306569523,kg
96ecc417-3c35-3212-8c93-6dd24b5691a8,AU TWB,2019,Residential,I.1.1,co2,52194268,kg
28fe8ae3-cffd-3c66-b2dc-e7c53dd31924,AU TWB,2019,Power,I.4.1,co2,13764379,kg
7664b02d-d6a6-386d-8322-0d67a5c6d124,AU TWB,2019,Ground Transport,II.1.1,co2,30968001,kg
07ad8638-1f72-39a8-b152-2c72b153a0cf,AU TWB,2019,Aviation,II.4.1,co2,5971494,kg
8c697fda-665e-3914-920a-5bb99f821dfa,AU TWB,2019,Industry,IV.1,co2,246568542,kg
b61b8072-0f78-33db-ae17-9c0440a78b7b,AU TWB,2020,Residential,I.1.1,co2,53529251,kg
577833a7-165f-34e0-a92a-766bd67fb1f6,AU TWB,2020,Power,I.4.1,co2,13189278,kg
a3c9899c-87e7-3b73-8b9d-90d23636f2e7,AU TWB,2020,Ground Transport,II.1.1,co2,26712569,kg
b7a3437c-8cea-3acc-a6d8-3169480ded58,AU TWB,2020,Aviation,II.4.1,co2,3490263,kg
6c18f1c4-77f4-3ff5-a0ec-afb1ac6e71d3,AU TWB,2020,Industry,IV.1,co2,229424802,kg
74bf34ec-f3e7-3fb6-a11c-dd14aec7d0b4,AU TWB,2021,Residential,I.1.1,co2,52176088,kg
e6502ce6-446a-37cd-b387-fefab0552ba7,AU TWB,2021,Power,I.4.1,co2,12912180,kg
7103ca8f-0167-3cdc-9fdc-2f1372d65ebc,AU TWB,2021,Ground Transport,II.1.1,co2,29658959,kg
f03e394f-0a0d-33f4-b9f7-d91eabd745cf,AU TWB,2021,Aviation,II.4.1,co2,4213655,kg
25c838da-fc69-3990-9689-17d89d9358b5,AU TWB,2021,Industry,IV.1,co2,224371667,kg
ac1d421f-44b0-32e6-9912-7d924f6d9dac,AU WOL,2019,Residential,I.1.1,co2,59793560,kg
b2d15a7c-29ae-3fb7-8dc2-33f823abcf69,AU WOL,2019,Power,I.4.1,co2,757425,kg
1f999694-b89c-3b9d-9513-764bd929b9b7,AU WOL,2019,Ground Transport,II.1.1,co2,36090963,kg
a92b6295-e7dd-3641-90b6-859e37b5f2b6,AU WOL,2019,Aviation,II.4.1,co2,520132,kg
2d692f4d-953e-3aee-843b-953fc6a93a58,AU WOL,2019,Industry,IV.1,co2,1613399165,kg
07f79c60-aaf6-334d-82ba-92a1ff6ed8bb,AU WOL,2020,Residential,I.1.1,co2,61449191,kg
54341531-d422-330b-a07d-207bac85ad77,AU WOL,2020,Power,I.4.1,co2,725007,kg
486cdc97-c228-377c-9384-6b2c4dc73030,AU WOL,2020,Ground Transport,II.1.1,co2,31131569,kg
db520059-acca-3941-bfb3-31096accaf41,AU WOL,2020,Aviation,II.4.1,co2,304866,kg
c60b89fb-d0d8-334e-9aae-e92ccf785bd4,AU WOL,2020,Industry,IV.1,co2,1501220417,kg
77d29135-3273-3a69-98ad-996cb9f3e9b3,AU WOL,2021,Residential,I.1.1,co2,59653758,kg
6e87bd26-218b-30fa-9d8f-6679d4ebb18c,AU WOL,2021,Power,I.4.1,co2,710305,kg
99417b41-26b5-3cb8-a5bd-e02fdc8b0542,AU WOL,2021,Ground Transport,II.1.1,co2,34565370,kg
46a9995d-ceec-3fe1-b39d-2964a7ff5e80,AU WOL,2021,Aviation,II.4.1,co2,368120,kg
88345d5c-1e8d-3178-8cc3-aab10e5e3365,AU WOL,2021,Industry,IV.1,co2,1468155916,kg
93b80343-c246-323f-8069-28b2121687ab,BR AJU,2019,Residential,I.1.1,co2,117900653,kg
eeaf3944-b0f7-32eb-a297-c4e5e7ec57e3,BR AJU,2019,Ground Transport,II.1.1,co2,182571049,kg
c44454f4-4860-337d-89ec-59f1d0aa64d1,BR AJU,2019,Aviation,II.4.1,co2,705634,kg
7a91ad4c-95af-3d3c-ab81-ab760ec02b04,BR AJU,2019,Industry,IV.1,co2,840721019,kg
