Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Belize,Belize,BZ,63.90,168.24,88.89,88.89,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Belize,Belize,BZ,61.99,165.61,89.22,89.22,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Canada,Canada,CA,100.07,140.64,79.63,66.11,,FALSE,
2022-01-01 00:00:00,Canada,Canada,CA,87.87,129.44,80.71,68.19,,FALSE,
2023-01-01 00:00:00,Canada,Canada,CA,88.90,131.62,80.10,67.35,,FALSE,
2024-01-01 00:00:00,Canada,Canada,CA,87.75,131.98,79.24,66.33,,FALSE,
2021-01-01 00:00:00,Democratic Republic of the Congo,Democratic Republic of the Congo,CD,0.06,24.56,99.99,99.99,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Democratic Republic of the Congo,Democratic Republic of the Congo,CD,0.10,24.59,99.97,99.97,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Central African Republic,Central African Republic,CF,0.00,24.00,100.00,100.00,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Central African Republic,Central African Republic,CF,0.00,24.00,100.00,100.00,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Congo,Congo,CG,282.43,387.32,24.31,24.31,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Congo,Congo,CG,290.71,396.90,22.00,22.00,IEA + Electricity Maps Estimation; Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Congo,Congo,CG,291.02,397.18,21.91,21.91,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,Congo,Congo,CG,292.07,398.49,21.62,21.62,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,341.96,405.21,42.63,42.57,coordinador.cl; Electricity Maps Estimation,FALSE,
2022-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,261.56,321.66,53.01,53.01,Electricity Maps Estimation; coordinador.cl,FALSE,
2023-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,217.48,272.26,60.93,60.93,coordinador.cl; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Chile,Sistema Eléctrico Nacional,CL-SEN,185.06,235.86,66.75,66.75,Electricity Maps Estimation; coordinador.cl,FALSE,
2021-01-01 00:00:00,Cameroon,Cameroon,CM,123.57,190.65,67.45,67.45,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,Cameroon,Cameroon,CM,113.15,178.28,70.32,70.32,Electricity Maps Estimation; IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,Cameroon,Cameroon,CM,102.47,163.62,73.12,73.12,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,China,China,CN,498.43,551.88,32.74,27.87,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 00:00:00,China,China,CN,486.57,539.60,34.40,29.61,Electricity Maps Estimation; EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2023-01-01 00:00:00,China,China,CN,482.70,535.76,34.91,30.25,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 00:00:00,China,China,CN,461.35,513.51,37.79,33.31,EMBER + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 00:00:00,Colombia,Colombia,CO,84.53,126.05,83.42,83.42,Electricity Maps Estimation; xm.com.co,FALSE,
2022-01-01 00:00:00,Colombia,Colombia,CO,72.39,112.47,85.41,85.41,xm.com.co; Electricity Maps Estimation,FALSE,
2023-01-01 00:00:00,Colombia,Colombia,CO,106.52,148.28,80.49,80.49,xm.com.co; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Colombia,Colombia,CO,53.03,90.10,88.57,88.57,Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2021-01-01 00:00:00,Costa Rica,Costa Rica,CR,16.22,40.27,97.20,97.20,Electricity Maps Estimation; grupoice.com,FALSE,
2022-01-01 00:00:00,Costa Rica,Costa Rica,CR,17.73,47.91,96.38,96.38,grupoice.com; Electricity Maps Estimation,TRUE,ESTIMATED_TIME_SLICER_AVERAGE
2023-01-01 00:00:00,Costa Rica,Costa Rica,CR,29.74,69.52,92.92,92.92,grupoice.com; Electricity Maps Estimation,FALSE,
2024-01-01 00:00:00,Costa Rica,Costa Rica,CR,44.29,94.09,89.09,89.09,grupoice.com; Electricity Maps Estimation,FALSE,
2021-01-01 00:00:00,Cuba,Cuba,CU,384.28,612.48,4.56,4.56,IEA + Electricity Maps Estimation,TRUE,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
